mese,fascia età,regione,valore predetto
2021-03-01,16-19,Toscana,5.651
2021-03-01,16-19,Valle d'Aosta / Vallée d'Aoste,5.667
2021-03-01,16-19,Puglia,5.778
2021-03-01,16-19,Sicilia,6.337
2021-03-01,16-19,Lazio,6.698
2021-03-01,20-29,Lombardia,271.873
2021-03-01,20-29,Piemonte,283.746
2021-03-01,20-29,Veneto,334.484
2021-03-01,20-29,Puglia,363.063
2021-03-01,20-29,Toscana,444.738
2021-03-01,30-39,Lombardia,387.81
2021-03-01,30-39,Piemonte,394.119
2021-03-01,30-39,Puglia,545.508
2021-03-01,30-39,Campania,564.786
2021-03-01,30-39,Toscana,911.492
2021-03-01,40-49,Sicilia,678.675
2021-03-01,40-49,Lazio,880.825
2021-03-01,40-49,Puglia,918.992
2021-03-01,40-49,Campania,1150.651
2021-03-01,40-49,Toscana,1424.556
2021-03-01,50-59,Sicilia,622.476
2021-03-01,50-59,Puglia,975.135
2021-03-01,50-59,Toscana,1068.976
2021-03-01,50-59,Lazio,1159.881
2021-03-01,50-59,Campania,1867.492
2021-03-01,60-69,Veneto,163.929
2021-03-01,60-69,Toscana,236.508
2021-03-01,60-69,Lazio,286.706
2021-03-01,60-69,Puglia,441.849
2021-03-01,60-69,Campania,960.944
2021-03-01,70-79,Sicilia,49.151
2021-03-01,70-79,Toscana,54.087
2021-03-01,70-79,Sardegna,54.278
2021-03-01,70-79,Lazio,91.008
2021-03-01,70-79,Lombardia,134.056
2021-03-01,80-89,Veneto,2423.31
2021-03-01,80-89,Campania,2616.778
2021-03-01,80-89,Emilia-Romagna,2928.008
2021-03-01,80-89,Lombardia,2989.849
2021-03-01,80-89,Lazio,3192.389
2021-03-01,90+,Piemonte,592.587
2021-03-01,90+,Toscana,601.143
2021-03-01,90+,Lazio,705.81
2021-03-01,90+,Lombardia,1078.873
2021-03-01,90+,Emilia-Romagna,1388.857
2021-04-01,16-19,Lazio,20.143
2021-04-01,16-19,Veneto,21.028
2021-04-01,16-19,Campania,22.802
2021-04-01,16-19,Sicilia,25.48
2021-04-01,16-19,Lombardia,29.901
2021-04-01,20-29,Piemonte,255.391
2021-04-01,20-29,Campania,278.184
2021-04-01,20-29,Lazio,291.421
2021-04-01,20-29,Veneto,519.448
2021-04-01,20-29,Lombardia,1232.905
2021-04-01,30-39,Campania,323.845
2021-04-01,30-39,Piemonte,344.355
2021-04-01,30-39,Lazio,537.467
2021-04-01,30-39,Veneto,551.695
2021-04-01,30-39,Lombardia,1905.805
2021-04-01,40-49,Calabria,406.185
2021-04-01,40-49,Sardegna,487.862
2021-04-01,40-49,Lazio,616.168
2021-04-01,40-49,Veneto,782.266
2021-04-01,40-49,Lombardia,2619.793
2021-04-01,50-59,Sardegna,635.599
2021-04-01,50-59,Liguria,640.192
2021-04-01,50-59,Lazio,860.983
2021-04-01,50-59,Veneto,1155.067
2021-04-01,50-59,Lombardia,3060.127
2021-04-01,60-69,Campania,931.242
2021-04-01,60-69,Sicilia,968.447
2021-04-01,60-69,Veneto,1134.894
2021-04-01,60-69,Lombardia,1472.193
2021-04-01,60-69,Lazio,1543.597
2021-04-01,70-79,Campania,2890.333
2021-04-01,70-79,Sicilia,2948.81
2021-04-01,70-79,Emilia-Romagna,3234.519
2021-04-01,70-79,Lazio,3894.792
2021-04-01,70-79,Veneto,4258.545
2021-04-01,80-89,Lazio,4958.395
2021-04-01,80-89,Emilia-Romagna,5174.821
2021-04-01,80-89,Piemonte,5465.476
2021-04-01,80-89,Veneto,7128.202
2021-04-01,80-89,Lombardia,11238.501
2021-04-01,90+,Lazio,1129.287
2021-04-01,90+,Emilia-Romagna,1391.606
2021-04-01,90+,Toscana,1526.998
2021-04-01,90+,Veneto,1742.402
2021-04-01,90+,Lombardia,2552.044
2021-05-01,16-19,Emilia-Romagna,57.766
2021-05-01,16-19,Sicilia,57.885
2021-05-01,16-19,Piemonte,64.195
2021-05-01,16-19,Campania,85.614
2021-05-01,16-19,Lombardia,157.984
2021-05-01,20-29,Piemonte,352.844
2021-05-01,20-29,Sicilia,443.807
2021-05-01,20-29,Lazio,514.195
2021-05-01,20-29,Campania,519.055
2021-05-01,20-29,Lombardia,762.03
2021-05-01,30-39,Emilia-Romagna,452.726
2021-05-01,30-39,Lazio,487.782
2021-05-01,30-39,Sicilia,529.067
2021-05-01,30-39,Campania,705.614
2021-05-01,30-39,Lombardia,857.618
2021-05-01,40-49,Piemonte,864.982
2021-05-01,40-49,Emilia-Romagna,902.205
2021-05-01,40-49,Sicilia,919.538
2021-05-01,40-49,Campania,1208.637
2021-05-01,40-49,Lombardia,1518.177
2021-05-01,50-59,Emilia-Romagna,1451.041
2021-05-01,50-59,Piemonte,1543.329
2021-05-01,50-59,Sicilia,1693.947
2021-05-01,50-59,Campania,2400.623
2021-05-01,50-59,Lombardia,3168.483
2021-05-01,60-69,Veneto,4551.789
2021-05-01,60-69,Sicilia,4821.795
2021-05-01,60-69,Lazio,5436.372
2021-05-01,60-69,Campania,7136.874
2021-05-01,60-69,Lombardia,12915.855
2021-05-01,70-79,Veneto,6509.655
2021-05-01,70-79,Lazio,6956.322
2021-05-01,70-79,Emilia-Romagna,7035.984
2021-05-01,70-79,Puglia,8316.154
2021-05-01,70-79,Lombardia,22569.094
2021-05-01,80-89,Emilia-Romagna,3209.857
2021-05-01,80-89,Lazio,3317.278
2021-05-01,80-89,Veneto,3368.333
2021-05-01,80-89,Toscana,5475.317
2021-05-01,80-89,Lombardia,7196.434
2021-05-01,90+,Puglia,658.29
2021-05-01,90+,Sicilia,680.492
2021-05-01,90+,Lazio,963.283
2021-05-01,90+,Lombardia,1274.028
2021-05-01,90+,Veneto,1422.363
2021-06-01,16-19,Emilia-Romagna,115.057
2021-06-01,16-19,Puglia,296.82
2021-06-01,16-19,Campania,308.394
2021-06-01,16-19,Lombardia,573.182
2021-06-01,16-19,Sicilia,684.156
2021-06-01,20-29,Lazio,769.202
2021-06-01,20-29,Emilia-Romagna,1024.525
2021-06-01,20-29,Sicilia,1373.808
2021-06-01,20-29,Campania,2194.605
2021-06-01,20-29,Lombardia,2946.735
2021-06-01,30-39,Emilia-Romagna,1539.359
2021-06-01,30-39,Sicilia,1653.113
2021-06-01,30-39,Lazio,1852.971
2021-06-01,30-39,Campania,2601.889
2021-06-01,30-39,Lombardia,3574.456
2021-06-01,40-49,Puglia,2718.92
2021-06-01,40-49,Sicilia,6030.048
2021-06-01,40-49,Lazio,6183.426
2021-06-01,40-49,Lombardia,6387.386
2021-06-01,40-49,Campania,8573.455
2021-06-01,50-59,Sicilia,7045.156
2021-06-01,50-59,Veneto,8103.643
2021-06-01,50-59,Lazio,10549.674
2021-06-01,50-59,Campania,11242.688
2021-06-01,50-59,Lombardia,17052.846
2021-06-01,60-69,Piemonte,5886.885
