mese,fascia età,regione,valore predetto
2021-03-01,_1619,Toscana,5.651
2021-03-01,_1619,Valle d'Aosta / Vallée d'Aoste,5.667
2021-03-01,_1619,Puglia,5.778
2021-03-01,_1619,Sicilia,6.337
2021-03-01,_1619,Lazio,6.698
2021-03-01,_2029,Lombardia,271.873
2021-03-01,_2029,Piemonte,283.746
2021-03-01,_2029,Veneto,334.484
2021-03-01,_2029,Puglia,363.063
2021-03-01,_2029,Toscana,444.738
2021-03-01,_3039,Lombardia,387.81
2021-03-01,_3039,Piemonte,394.119
2021-03-01,_3039,Puglia,545.508
2021-03-01,_3039,Campania,564.786
2021-03-01,_3039,Toscana,911.492
2021-03-01,_4049,Sicilia,678.675
2021-03-01,_4049,Lazio,880.825
2021-03-01,_4049,Puglia,918.992
2021-03-01,_4049,Campania,1150.651
2021-03-01,_4049,Toscana,1424.556
2021-03-01,_5059,Sicilia,622.476
2021-03-01,_5059,Puglia,975.135
2021-03-01,_5059,Toscana,1068.976
2021-03-01,_5059,Lazio,1159.881
2021-03-01,_5059,Campania,1867.492
2021-03-01,_6069,Veneto,163.929
2021-03-01,_6069,Toscana,236.508
2021-03-01,_6069,Lazio,286.706
2021-03-01,_6069,Puglia,441.849
2021-03-01,_6069,Campania,960.944
2021-03-01,_7079,Sicilia,49.151
2021-03-01,_7079,Toscana,54.087
2021-03-01,_7079,Sardegna,54.278
2021-03-01,_7079,Lazio,91.008
2021-03-01,_7079,Lombardia,134.056
2021-03-01,_8089,Veneto,2423.31
2021-03-01,_8089,Campania,2616.778
2021-03-01,_8089,Emilia-Romagna,2928.008
2021-03-01,_8089,Lombardia,2989.849
2021-03-01,_8089,Lazio,3192.389
2021-03-01,_90,Piemonte,592.587
2021-03-01,_90,Toscana,601.143
2021-03-01,_90,Lazio,705.81
2021-03-01,_90,Lombardia,1078.873
2021-03-01,_90,Emilia-Romagna,1388.857
2021-04-01,_1619,Lazio,20.143
2021-04-01,_1619,Veneto,21.028
2021-04-01,_1619,Campania,22.802
2021-04-01,_1619,Sicilia,25.48
2021-04-01,_1619,Lombardia,29.901
2021-04-01,_2029,Piemonte,255.391
2021-04-01,_2029,Campania,278.184
2021-04-01,_2029,Lazio,291.421
2021-04-01,_2029,Veneto,519.448
2021-04-01,_2029,Lombardia,1232.905
2021-04-01,_3039,Campania,323.845
2021-04-01,_3039,Piemonte,344.355
2021-04-01,_3039,Lazio,537.467
2021-04-01,_3039,Veneto,551.695
2021-04-01,_3039,Lombardia,1905.805
2021-04-01,_4049,Calabria,406.185
2021-04-01,_4049,Sardegna,487.862
2021-04-01,_4049,Lazio,616.168
2021-04-01,_4049,Veneto,782.266
2021-04-01,_4049,Lombardia,2619.793
2021-04-01,_5059,Sardegna,635.599
2021-04-01,_5059,Liguria,640.192
2021-04-01,_5059,Lazio,860.983
2021-04-01,_5059,Veneto,1155.067
2021-04-01,_5059,Lombardia,3060.127
2021-04-01,_6069,Campania,931.242
2021-04-01,_6069,Sicilia,968.447
2021-04-01,_6069,Veneto,1134.894
2021-04-01,_6069,Lombardia,1472.193
2021-04-01,_6069,Lazio,1543.597
2021-04-01,_7079,Campania,2890.333
2021-04-01,_7079,Sicilia,2948.81
2021-04-01,_7079,Emilia-Romagna,3234.519
2021-04-01,_7079,Lazio,3894.792
2021-04-01,_7079,Veneto,4258.545
2021-04-01,_8089,Lazio,4958.395
2021-04-01,_8089,Emilia-Romagna,5174.821
2021-04-01,_8089,Piemonte,5465.476
2021-04-01,_8089,Veneto,7128.202
2021-04-01,_8089,Lombardia,11238.501
2021-04-01,_90,Lazio,1129.287
2021-04-01,_90,Emilia-Romagna,1391.606
2021-04-01,_90,Toscana,1526.998
2021-04-01,_90,Veneto,1742.402
2021-04-01,_90,Lombardia,2552.044
2021-05-01,_1619,Emilia-Romagna,57.766
2021-05-01,_1619,Sicilia,57.885
2021-05-01,_1619,Piemonte,64.195
2021-05-01,_1619,Campania,85.614
2021-05-01,_1619,Lombardia,157.984
2021-05-01,_2029,Piemonte,352.844
2021-05-01,_2029,Sicilia,443.807
2021-05-01,_2029,Lazio,514.195
2021-05-01,_2029,Campania,519.055
2021-05-01,_2029,Lombardia,762.03
2021-05-01,_3039,Emilia-Romagna,452.726
2021-05-01,_3039,Lazio,487.782
2021-05-01,_3039,Sicilia,529.067
2021-05-01,_3039,Campania,705.614
2021-05-01,_3039,Lombardia,857.618
2021-05-01,_4049,Piemonte,864.982
2021-05-01,_4049,Emilia-Romagna,902.205
2021-05-01,_4049,Sicilia,919.538
2021-05-01,_4049,Campania,1208.637
2021-05-01,_4049,Lombardia,1518.177
2021-05-01,_5059,Emilia-Romagna,1451.041
2021-05-01,_5059,Piemonte,1543.329
2021-05-01,_5059,Sicilia,1693.947
2021-05-01,_5059,Campania,2400.623
2021-05-01,_5059,Lombardia,3168.483
2021-05-01,_6069,Veneto,4551.789
2021-05-01,_6069,Sicilia,4821.795
2021-05-01,_6069,Lazio,5436.372
2021-05-01,_6069,Campania,7136.874
2021-05-01,_6069,Lombardia,12915.855
2021-05-01,_7079,Veneto,6509.655
2021-05-01,_7079,Lazio,6956.322
2021-05-01,_7079,Emilia-Romagna,7035.984
2021-05-01,_7079,Puglia,8316.154
2021-05-01,_7079,Lombardia,22569.094
2021-05-01,_8089,Emilia-Romagna,3209.857
2021-05-01,_8089,Lazio,3317.278
2021-05-01,_8089,Veneto,3368.333
2021-05-01,_8089,Toscana,5475.317
2021-05-01,_8089,Lombardia,7196.434
2021-05-01,_90,Puglia,658.29
2021-05-01,_90,Sicilia,680.492
2021-05-01,_90,Lazio,963.283
2021-05-01,_90,Lombardia,1274.028
2021-05-01,_90,Veneto,1422.363
2021-06-01,_1619,Emilia-Romagna,115.057
2021-06-01,_1619,Puglia,296.82
2021-06-01,_1619,Campania,308.394
2021-06-01,_1619,Lombardia,573.182
2021-06-01,_1619,Sicilia,684.156
2021-06-01,_2029,Lazio,769.202
2021-06-01,_2029,Emilia-Romagna,1024.525
2021-06-01,_2029,Sicilia,1373.808
2021-06-01,_2029,Campania,2194.605
2021-06-01,_2029,Lombardia,2946.735
2021-06-01,_3039,Emilia-Romagna,1539.359
2021-06-01,_3039,Sicilia,1653.113
2021-06-01,_3039,Lazio,1852.971
2021-06-01,_3039,Campania,2601.889
2021-06-01,_3039,Lombardia,3574.456
2021-06-01,_4049,Puglia,2718.92
2021-06-01,_4049,Sicilia,6030.048
2021-06-01,_4049,Lazio,6183.426
2021-06-01,_4049,Lombardia,6387.386
2021-06-01,_4049,Campania,8573.455
2021-06-01,_5059,Sicilia,7045.156
2021-06-01,_5059,Veneto,8103.643
2021-06-01,_5059,Lazio,10549.674
2021-06-01,_5059,Campania,11242.688
2021-06-01,_5059,Lombardia,17052.846
2021-06-01,_6069,Piemonte,5886.885
